copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass_AAA,publisherClass_Hobbyist,publisherClass_Indie,Label,name,releaseDate,publisherClass,publishers,developers
19791.0,14.99,250950.0,20.865414536197893,95.0,0.0,0.0,1.0,Non-Indie,Nexus 5X,18-04-2024,Indie,Paradox Arc,Whatboy Games
14728.0,19.99,249767.0,13.221277300296627,89.0,0.0,0.0,1.0,Non-Indie,AutoForge,27-03-2024,Indie,Siege Games,Siege Games
36601.0,9.99,249274.0,2.612123877243422,75.0,0.0,0.0,1.0,Indie,Magic Pussy: Chapter 2,13-01-2024,Indie,Taboo Tales 💘,Taboo Tales 💘
36772.0,7.99,243845.0,1.1870703784703778,83.0,0.0,0.0,1.0,Indie,Lifeform Zero,22-02-2024,Indie,"Mango Party,Mango Party News",Sins of Succubus
27537.0,9.99,240922.0,8.278991424104499,86.0,0.0,0.0,1.0,Indie,Turbo Golf Racing,04-04-2024,Indie,Hugecalf Studios,Hugecalf Studios
54205.0,4.99,239666.0,4.033346015712271,97.0,0.0,0.0,1.0,Indie,Windowkill,23-02-2024,Indie,torcado,torcado
11797.0,24.99,237361.0,4.453969670795021,83.0,0.0,0.0,1.0,Indie,Bootstrap Island,22-02-2024,Indie,Maru VR Productions,Maru VR Productions
14398.0,19.99,235724.0,7.94368062025551,49.0,0.0,0.0,1.0,Indie,Hairdresser Simulator,06-03-2024,Indie,Frozen Way,GameFormatic S.A.
57155.0,4.99,235604.0,4.290811596159339,91.0,0.0,0.0,1.0,Indie,Maniac,28-03-2024,Indie,Skystone Games,Transhuman Design
43112.0,5.99,232416.0,6.127524221454782,72.0,0.0,0.0,1.0,Indie,Zoonomaly,06-03-2024,Indie,LIGHTS ARE OFF LLC,LIGHTS ARE OFF LLC
19649.0,14.99,230628.0,3.0902037504824045,88.0,0.0,0.0,0.0,Indie,Pepper Grinder,28-03-2024,AA,Devolver Digital,"Ahr Ech,MP2 Games"
14012.0,19.99,229922.0,4.261561103643061,95.0,0.0,0.0,1.0,Indie,Shashingo: Learn Japanese with Photography,27-02-2024,Indie,Autumn Pioneer,Autumn Pioneer
24896.0,11.99,227666.0,16.151996485734074,84.0,0.0,0.0,1.0,Non-Indie,Hexguardian,02-05-2024,Indie,Yogscast Games,Split Second Games
24006.0,11.99,227642.0,3.399177167134526,88.0,0.0,0.0,1.0,Indie,Modern Pink Elf RPG,02-02-2024,Indie,"Remtairy,CursedAtelier",Warshop
18075.0,14.99,225541.0,18.29526412534356,80.0,0.0,0.0,1.0,Non-Indie,Internet Cafe Evolution,19-04-2024,Indie,Tiny Flame Games,Tiny Flame Games
13359.0,19.99,224409.0,23.152544840566616,84.0,0.0,0.0,1.0,Non-Indie,Primitive Society Simulator,26-02-2024,Indie,YSH Games,YSH BigDove
38869.0,6.99,224151.0,2.4823713745397766,97.0,0.0,0.0,1.0,Indie,Dystopika,21-06-2024,Indie,"Voids Within,UNIKAT Label",Voids Within
16175.0,16.99,223483.0,1.763499267186479,90.0,0.0,0.0,1.0,Indie,Transformative Summer: Life with a TS Companion,23-08-2024,Indie,"HENTAI Plan,OTAKU Plan",88Danuki
22016.0,12.99,223470.0,8.570352837139355,95.0,0.0,0.0,1.0,Indie,Bare Witness,20-07-2024,Indie,AlterWorlds,AlterWorlds
10529.0,24.99,222603.0,7.775502852784427,53.0,0.0,0.0,1.0,Indie,Blockbuster Inc.,06-06-2024,Indie,Ancient Forge,Super Sly Fox
19148.0,14.99,222412.0,3.8115169276491287,73.0,0.0,0.0,1.0,Indie,GUARDS!,01-03-2024,Indie,WYLDERZONE,"WYLDERZONE,Lowkey GameDev"
25621.0,14.99,219632.0,14.334402971391173,94.0,0.0,0.0,1.0,Non-Indie,Chasing Sunsets,18-08-2024,Indie,Stone Fox Studios,Stone Fox Studios
10528.0,24.99,218069.0,2.863190329208691,84.0,0.0,0.0,1.0,Indie,Sisters: Last Day of Summer,03-06-2024,Indie,JAST,Jellyfish
26571.0,13.99,218047.0,20.12410684801021,76.0,0.0,0.0,1.0,Non-Indie,Three Kingdoms: Innovatory,31-01-2024,Indie,Moment HK,瞬息万变工作室
20643.0,14.99,217085.0,10.783586495954678,99.0,0.0,0.0,1.0,Non-Indie,Angel at Dusk,12-01-2024,Indie,"Henteko Doujin,Sanuk Inc.",Akiragoya
21864.0,11.99,216851.0,5.844877721759396,95.0,0.0,0.0,1.0,Indie,CaseCracker2,16-05-2024,Indie,NPC Entertainment,BlackRobe
13112.0,19.99,215401.0,10.997180274952369,81.0,0.0,0.0,1.0,Non-Indie,HEART of CROWN Online,23-04-2024,Indie,Japanime Digital,"illuCalab,FLIPFLOPs"
7991.0,29.99,214688.0,5.441417976196167,58.0,0.0,0.0,0.0,Indie,Stargate: Timekeepers,23-01-2024,AA,Slitherine Ltd.,Slitherine Ltd.
16129.0,14.99,214566.0,10.44505482765064,83.0,0.0,0.0,1.0,Non-Indie,Vae Victis - Khan,01-03-2024,Indie,Doorknob22,Doorknob22
7242.0,32.0,208569.0,7.070747407547764,60.0,0.0,0.0,1.0,Non-Indie,Nancy Drew®: Mystery of the Seven Keys™,20-06-2024,Indie,HeR Interactive,HeR Interactive
15338.0,19.99,208558.0,21.58182968869664,55.0,0.0,0.0,1.0,Non-Indie,Project MIKHAIL: A Muv-Luv War Story,26-04-2024,Indie,aNCHOR Inc.,"aNCHOR Inc.,fuzz, Inc."
16425.0,15.99,207588.0,12.18923439084038,83.0,0.0,0.0,1.0,Non-Indie,The DeLuca Family - Season 1,27-02-2024,Indie,MemoGaming,MemoGaming
28170.0,7.99,202570.0,2.4106187515297246,92.0,0.0,0.0,1.0,Indie,The Bathhouse | 地獄銭湯 Restored Edition,09-08-2024,Indie,Chilla's Art,Chilla's Art
26225.0,7.99,202048.0,7.407742826442237,96.0,0.0,0.0,1.0,Indie,Shipwrecked 64,01-01-2024,Indie,Cogware Games,"Squeaks D'Corgeh,Cogware Games"
16453.0,14.99,201940.0,8.217366605525815,72.0,0.0,0.0,1.0,Indie,Shadow of the Depth,22-04-2024,Indie,ChillyRoom,ChillyRoom
12366.0,19.99,198731.0,5.466555952304595,81.0,0.0,0.0,1.0,Indie,CONVRGENCE,22-04-2024,Indie,Monkey-With-a-Bomb,Monkey-With-a-Bomb
20883.0,9.99,198689.0,5.069955151525373,80.0,0.0,0.0,1.0,Indie,A Day Out,27-06-2024,Indie,KevTheDev,"KevTheDev,gamesbychris"
12464.0,19.99,198058.0,4.056923806623435,97.0,0.0,0.0,1.0,Indie,Arzette: The Jewel of Faramore,13-02-2024,Indie,Limited Run Games,Seedy Eye Software
21646.0,10.99,197843.0,4.235837414783542,90.0,0.0,0.0,1.0,Indie,Colony City 27λ,26-03-2024,Indie,Playmeow,Bunny Eats Tiger
21519.0,10.99,197661.0,1.62018681861316,84.0,0.0,0.0,1.0,Indie,Smash Girls,25-06-2024,Indie,"Mango Party,Mango Party News",18bitStudio
34730.0,11.99,195942.0,9.590101408610204,76.0,0.0,0.0,1.0,Indie,彷徨之街 The Street of Adrift,20-05-2024,Indie,LoveStoryProject,Caramel-Mocha Studio
13511.0,17.99,195795.0,2.5949174590740385,70.0,0.0,0.0,1.0,Indie,Corsairs Legacy - Pirate Action RPG & Sea Battles,30-01-2024,Indie,Mauris Games OU,Mauris
10052.0,19.99,195440.0,6.548743445908296,99.0,0.0,0.0,1.0,Indie,4D Golf,22-03-2024,Indie,CodeParade,CodeParade
13936.0,17.99,194382.0,5.081085619181385,77.0,0.0,0.0,1.0,Indie,Diluvian Winds,25-04-2024,Indie,"Goblinz Publishing,IndieArk",Alambik Studio
19576.0,11.99,193532.0,4.968943677656601,86.0,0.0,0.0,1.0,Indie,How to lose one's virginity,25-04-2024,Indie,VisualPointG,VisualPointG
27719.0,7.99,189258.0,2.660770403074175,97.0,0.0,0.0,1.0,Indie,Apprehending the Adventurer Chan! ~Live2D Tentacles Simulator~,27-06-2024,Indie,Alice Publication,No.7 Void Mine
19716.0,11.99,188260.0,8.306483637567908,66.0,0.0,0.0,1.0,Indie,道衍诀,08-05-2024,Indie,宁德动游网络科技有限公司,宁德动游网络科技有限公司
13179.0,18.99,187908.0,13.222661214210484,89.0,0.0,0.0,1.0,Non-Indie,Beat Hazard 3,22-06-2024,Indie,Cold Beam Games,Cold Beam Games
10896.0,18.99,186670.0,20.93961115219039,83.0,0.0,0.0,1.0,Non-Indie,Final Factory,09-04-2024,Indie,Never Games Limited,Never Games Limited
13798.0,16.99,184444.0,6.573973275788298,99.0,0.0,0.0,1.0,Indie,Yellow Taxi Goes Vroom,09-04-2024,Indie,"Xelu,Those Awesome Guys",Panik Arcade
21079.0,11.99,183781.0,5.290148096748573,95.0,0.0,0.0,1.0,Indie,Galaxy Burger,23-08-2024,Indie,Galactic Workshop,Galactic Workshop
24972.0,9.99,182249.0,1.8052762578319173,97.0,0.0,0.0,1.0,Indie,Arctic Eggs,16-05-2024,Indie,CRITICAL REFLEX,"The Water Museum,cockydoody,abmarnie,Cameron Ginex"
14452.0,19.99,181284.0,16.714114619980005,91.0,0.0,0.0,1.0,Non-Indie,No Creeps Were Harmed TD,27-07-2024,Indie,MinMax Games Ltd.,MinMax Games Ltd.
9307.0,24.99,180957.0,17.806999014427912,80.0,0.0,0.0,1.0,Non-Indie,Zoria: Age of Shattering,07-03-2024,Indie,"Anshar Publishing,Surefire.Games",Tiny Trinket Games
16580.0,12.99,180236.0,5.873573137485592,96.0,0.0,0.0,1.0,Indie,Having a HARD Time,12-02-2024,Indie,Quadruple-Q,Quadruple-Q
16201.0,12.99,179792.0,2.754190616196808,77.0,0.0,0.0,1.0,Indie,"Island, Sex & Survival",25-06-2024,Indie,Alice Publication,無人島觀光促進會
13210.0,17.99,179743.0,5.946683096741738,85.0,0.0,0.0,1.0,Indie,Sheryl ~The Alchemist of the Island Ruins~,19-04-2024,Indie,Kagura Games,Pakkuri Paradise
23894.0,8.99,179352.0,8.238716732494117,68.0,0.0,0.0,1.0,Indie,KeepUp Survival,05-03-2024,Indie,Witte Studio,Witte Studio
38408.0,5.99,178996.0,3.636514388975916,90.0,0.0,0.0,1.0,Indie,Folie Fatale,30-05-2024,Indie,346lab Localization,Kanmidoko (神海処)
14440.0,14.99,177736.0,4.881503287831916,95.0,0.0,0.0,1.0,Indie,Farlands,24-07-2024,Indie,JanduSoft,"JanduSoft,Eric Rodríguez"
18098.0,11.99,176781.0,3.8147019706556926,75.0,0.0,0.0,1.0,Indie,B.E.S.T,18-01-2024,Indie,Dolydev,Dolyla
61373.0,5.99,175228.0,17.006639023780735,98.0,0.0,0.0,1.0,Non-Indie,Kukoro: Stream chat games,02-02-2024,Indie,HeyNau,HeyNau
20159.0,9.99,175194.0,1.9294587589570893,72.0,0.0,0.0,1.0,Indie,Backrooms Rec.,06-03-2024,Indie,Liminal Logic,Liminal Logic
25461.0,9.99,174298.0,8.685694388370663,93.0,0.0,0.0,1.0,Indie,Old Market Simulator,21-05-2024,Indie,"Alcedo Games,Gamersky Games",Alcedo Games
14773.0,14.99,174069.0,2.14888170402484,83.0,0.0,0.0,1.0,Indie,Fleshlight Squad - Fleshlightize -,12-01-2024,Indie,072 Project,ちゃおいずむ
12896.0,17.99,173502.0,3.941035344922252,97.0,0.0,0.0,1.0,Indie,Tiny Terry's Turbo Trip,30-05-2024,Indie,Super Rare Originals,snekflat
8386.0,24.99,173471.0,6.759825136466032,61.0,0.0,0.0,1.0,Indie,Phantom Fury,23-04-2024,Indie,3D Realms,Slipgate Ironworks™
16112.0,14.99,172919.0,9.171866180343908,88.0,0.0,0.0,1.0,Indie,RUNGORE,16-05-2024,Indie,"GrabTheGames,Gamera Games,UpgradePoint","YOUR_MOM'S_HP,RavenJm"
10936.0,19.99,172222.0,5.162763610356412,92.0,0.0,0.0,0.0,Indie,REVEIL,06-03-2024,AA,Daedalic Entertainment,Pixelsplit
11862.0,19.99,171463.0,16.004801494161363,89.0,0.0,0.0,1.0,Non-Indie,KitHack Model Club,01-08-2024,Indie,"Floating Origin Interactive,Curve Games",Floating Origin Interactive
41463.0,4.99,171352.0,2.658659161885786,99.0,0.0,0.0,1.0,Indie,A Tower Full of Cats,20-05-2024,Indie,Devcats,Devcats
16898.0,11.99,171160.0,7.688269897496598,88.0,0.0,0.0,1.0,Indie,Drug Lord Tycoon,31-07-2024,Indie,Duhndal,Duhndal
15345.0,14.99,170271.0,10.197507446551173,93.0,0.0,0.0,1.0,Non-Indie,Into the Necrovale,26-01-2024,Indie,Tribal-Storm,Casey Clyde
9464.0,19.99,170266.0,5.361269289978908,86.0,0.0,0.0,1.0,Indie,Tomba! Special Edition,31-07-2024,Indie,Limited Run Games,Limited Run Games
16430.0,13.99,169800.0,7.7027946379318815,93.0,0.0,0.0,1.0,Indie,FAIRY TAIL: DUNGEONS,26-08-2024,Indie,Kodansha,ginolabo
10274.0,19.99,168841.0,5.098042446489322,99.0,0.0,0.0,1.0,Indie,Arco,15-08-2024,Indie,Panic,"Franek,Max Cahill,Bibiki,Fáyer"
10810.0,19.99,167966.0,7.281782067780635,94.0,0.0,0.0,1.0,Indie,Last Hope,18-04-2024,Indie,"Poolside games,DreamBig Games",Poolside games
15783.0,12.99,165452.0,4.845216579075951,82.0,0.0,0.0,1.0,Indie,The Grey Dream,09-01-2024,Indie,The Greys,The Greys
10536.0,19.99,165375.0,12.60609181612462,96.0,0.0,0.0,1.0,Non-Indie,Quilts and Cats of Calico,05-03-2024,Indie,"Monster Couch,Flatout Games",Monster Couch
10261.0,19.99,163926.0,3.916737738327048,79.0,0.0,0.0,1.0,Indie,Hypnotic Idol,18-06-2024,Indie,azucat,azucat
12790.0,14.99,163789.0,24.23037807231731,90.0,0.0,0.0,1.0,Non-Indie,This is a Ghost,17-04-2024,Indie,Nuci,Nuci
10680.0,19.99,163307.0,6.014406764508275,98.0,0.0,0.0,1.0,Indie,Crypt Custodian,27-08-2024,Indie,"Kyle Thompson,Top Hat Studios, Inc.,H2 Interactive Co., Ltd.",Kyle Thompson
14305.0,14.99,163296.0,6.4025414038367305,75.0,0.0,0.0,1.0,Indie,Himegashima Island,02-08-2024,Indie,Kagura Games,Fushidaratei
7748.0,22.99,160313.0,11.996352257405444,95.0,0.0,0.0,1.0,Non-Indie,Clank!,24-07-2024,Indie,Dire Wolf,Dire Wolf
9835.0,19.99,159911.0,4.301057192445973,81.0,0.0,0.0,1.0,Indie,Heading Out,07-05-2024,Indie,Saber Interactive,Serious Sim
28586.0,6.99,158283.0,5.66407476855285,81.0,0.0,0.0,1.0,Indie,The Game of Sisyphus,11-04-2024,Indie,cream,cream
25734.0,6.99,157941.0,1.6539491559621793,83.0,0.0,0.0,1.0,Indie,除邪(CHUXIE),28-07-2024,Indie,LCGaming,LCGaming
6256.0,29.99,155061.0,4.087998735806734,73.0,0.0,0.0,1.0,Indie,Vivat Slovakia,18-04-2024,Indie,Team Vivat,Team Vivat
13814.0,19.99,153619.0,6.01014217466712,82.0,0.0,0.0,0.0,Indie,Arena Renovation,19-01-2024,AA,"PlayWay S.A.,FreeMind S.A.",Nesalis Games
11819.0,14.99,153346.0,12.394389248708071,96.0,0.0,0.0,1.0,Non-Indie,Summer's Gone - Season 1,10-05-2024,Indie,OceanAVN,OceanAVN
27531.0,9.99,152748.0,6.043817491612786,75.0,0.0,0.0,1.0,Indie,Turlock Holmes,21-02-2024,Indie,Neverland Entertainment,Find the Lamp Games
47322.0,3.99,151366.0,3.115070265712853,82.0,0.0,0.0,1.0,Indie,Miss Neko: Pirates,22-03-2024,Indie,Toffee Cafe,Orangeee
9076.0,19.99,149494.0,7.925857937636709,84.0,0.0,0.0,1.0,Indie,Maid of the Dead,29-02-2024,Indie,qureate,"qureate,IXILL LLC."
9426.0,19.99,148767.0,7.734520511375408,82.0,0.0,0.0,1.0,Indie,Project Demigod,01-02-2024,Indie,Fast Travel Games,Omnifarious Studios LLC
36043.0,4.99,147185.0,3.1321856073593546,93.0,0.0,0.0,1.0,Indie,勾八狂想曲,16-07-2024,Indie,勾八游戏,勾八游戏
11532.0,14.99,146384.0,3.823862384264399,86.0,0.0,0.0,1.0,Indie,Aeruta,15-05-2024,Indie,"GRAVITY GAME ARISE Co., Ltd.",FromDawn Games
17079.0,10.99,146188.0,1.5783624783835415,85.0,0.0,0.0,1.0,Indie,MWNeus,12-08-2024,Indie,CLLGames,CLLGames
38909.0,5.99,145765.0,1.5732950377279882,74.0,0.0,0.0,1.0,Indie,"Sex, Please",24-05-2024,Indie,Evil Boobs Cult,Evil Boobs Cult
12111.0,14.99,144122.0,14.886709065862858,84.0,0.0,0.0,1.0,Non-Indie,CD 2: Trap Master,28-03-2024,Indie,"ACE ENTERTAINMENT,Erabit",ACE ENTERTAINMENT
13201.0,12.99,143830.0,2.62212839425719,80.0,0.0,0.0,1.0,Indie,With Eyes Closed - Season 1,16-08-2024,Indie,Ker,Ker
11016.0,14.99,143625.0,5.743886096291238,79.0,0.0,0.0,1.0,Indie,Once a Porn a Time 2,15-06-2024,Indie,OPT Studio,OPT Studio
16668.0,14.99,143445.0,3.6441777939194218,78.0,0.0,0.0,1.0,Indie,Hellbreach: Vegas,14-08-2024,Indie,Iceberg Interactive,Infinity Ape Studios
27661.0,5.99,143115.0,1.1508789912695352,77.0,0.0,0.0,1.0,Indie,I Am Part-time Worker!!,26-06-2024,Indie,KomeFukuro,KomeFukuro
19335.0,9.99,142092.0,7.815683895628099,84.0,0.0,0.0,1.0,Indie,BORE BLASTERS,08-03-2024,Indie,8BitSkull,8BitSkull
14585.0,15.99,141787.0,5.968698775476018,70.0,0.0,0.0,1.0,Indie,Pool Cleaning Simulator,05-06-2024,Indie,"FreeMind S.A.,PlayWay S.A.","Rubens Games,FreeMind S.A."
15469.0,11.99,140951.0,16.68310705082089,92.0,0.0,0.0,1.0,Non-Indie,From Glory To Goo,02-04-2024,Indie,Stratagem Blue,Stratagem Blue
15751.0,10.99,140940.0,1.780681503149469,88.0,0.0,0.0,1.0,Indie,Solo leeching~35-Year-Old Magician Journey,21-06-2024,Indie,072 Project,アンクルおじ
17856.0,9.99,140690.0,4.114998906714487,84.0,0.0,0.0,1.0,Indie,Spectral Scream,28-08-2024,Indie,STOIC Ent.,STOIC Ent.
21002.0,7.99,140013.0,2.4110427035103563,95.0,0.0,0.0,1.0,Indie,1 to 1 humanoid edible toys,07-08-2024,Indie,无,"汉谟拉比炒面,我的屁是香哒"
7322.0,21.99,138039.0,15.685483626994415,83.0,0.0,0.0,1.0,Non-Indie,Ark of Charon,08-07-2024,Indie,SUNSOFT,"Angoo Inc.,SUNSOFT"
11972.0,14.99,137489.0,7.030944723548148,90.0,0.0,0.0,1.0,Indie,And the Hero Was Never Seen Again,10-02-2024,Indie,Kagura Games,Circle Poison
12818.0,14.99,137453.0,9.254702087867598,79.0,0.0,0.0,1.0,Indie,United Penguin Kingdom,09-03-2024,Indie,"GrabTheGames,UpgradePoint",Turquoise Revival Games
7002.0,24.99,136381.0,4.20162183578225,71.0,0.0,0.0,1.0,Indie,First Dwarf,19-06-2024,Indie,"Star Drifters,4Divinity",Star Drifters
17922.0,8.99,135974.0,10.859354431064316,97.0,0.0,0.0,1.0,Non-Indie,Multi Turret Academy,18-01-2024,Indie,Scarlet Academy,Scarlet Academy
13207.0,11.99,134665.0,7.129466789211678,88.0,0.0,0.0,1.0,Indie,Repair this!,19-04-2024,Indie,hgiSoft,hgiSoft
30891.0,4.99,134579.0,3.507301277365972,84.0,0.0,0.0,1.0,Indie,clickyland,03-06-2024,Indie,Sokpop Collective,Sokpop Collective
8327.0,19.99,134478.0,10.81047014652968,94.0,0.0,0.0,1.0,Non-Indie,BIOMORPH,05-04-2024,Indie,Lucid Dreams Studio,Lucid Dreams Studio
8953.0,19.99,133472.0,7.871207655983875,83.0,0.0,0.0,1.0,Indie,Tunnel Escape,22-08-2024,Indie,Saikey Studios,Elzee
15876.0,9.99,132333.0,2.356807953029711,81.0,0.0,0.0,1.0,Indie,Liu Shan Maker,13-05-2024,Indie,"Playmeow,ACG creator",Xian
21835.0,6.99,132078.0,5.142398956146814,91.0,0.0,0.0,1.0,Indie,Casino Simulator,23-05-2024,Indie,Lodos Games,Lodos Games
18183.0,9.25,131680.0,16.510882014762892,81.0,0.0,0.0,1.0,Non-Indie,Mirror of Heaven,01-06-2024,Indie,Leyo Games,EnjoyPlay Ltd
8286.0,21.99,131175.0,4.812221953692276,98.0,0.0,0.0,1.0,Indie,Gori: Cuddly Carnage,29-08-2024,Indie,"Wired Productions,CouchPlay Interactive (Greater China)",Angry Demon Studio
11565.0,14.99,130913.0,11.39826729620468,91.0,0.0,0.0,1.0,Non-Indie,Churn Vector,11-01-2024,Indie,Naelstrof,"Naelstrof,Eugene,Archival"
10750.0,17.9,129987.0,1.798743259643329,66.0,0.0,0.0,1.0,Indie,Pine Harbor,25-04-2024,Indie,Vision Forge Team,Vision Forge Team
8056.0,19.99,129800.0,3.827632608126103,43.0,0.0,0.0,1.0,Indie,Chornobyl Liquidators,06-06-2024,Indie,Frozen Way,Live Motion Games
23968.0,5.99,129211.0,1.370028927181579,92.0,0.0,0.0,1.0,Indie,Anomaly Exit,31-03-2024,Indie,ExamlGuy,ExamlGuy
7522.0,19.99,127676.0,4.2824884665923,91.0,0.0,0.0,1.0,Indie,Potions: A Curious Tale,07-03-2024,Indie,Stumbling Cat,Stumbling Cat
12053.0,12.99,126481.0,4.561630918417058,82.0,0.0,0.0,1.0,Indie,Happy Sheepies,08-07-2024,Indie,Berker Games,Berker Games
15364.0,9.99,126462.0,9.378672564556648,69.0,0.0,0.0,1.0,Indie,Kādomon: Hyper Auto Battlers,25-03-2024,Indie,Fireshine Games,Dino Rocket
9362.0,14.99,126302.0,13.785406431198403,76.0,0.0,0.0,1.0,Non-Indie,Kitchen Crisis,02-04-2024,Indie,Team Samoyed,Team Samoyed
18918.0,7.99,125882.0,1.8054321828185629,90.0,0.0,0.0,1.0,Indie,My Holiness the Gobliness,16-05-2024,Indie,"Mango Party,Mango Party News",BFGS
58372.0,4.99,124273.0,10.70984715281564,96.0,1.0,0.0,0.0,Indie,Dungeon Keeper™ 2,07-03-2024,AAA,Electronic Arts,Bullfrog Productions
7489.0,19.99,124094.0,3.06825394518638,99.0,0.0,0.0,1.0,Indie,Kitsune Tails,01-08-2024,Indie,"Kitsune Games,MidBoss, LLC.",Kitsune Games
7341.0,19.99,123977.0,25.153398258825927,90.0,0.0,0.0,1.0,Non-Indie,Everafter Falls,20-06-2024,Indie,Akupara Games,SquareHusky
9966.0,15.99,123743.0,4.484006580046724,100.0,0.0,0.0,1.0,Indie,DEVIL BLADE REBOOT,23-05-2024,Indie,SHIGATAKE GAMES,SHIGATAKE GAMES
18233.0,9.99,122952.0,10.496655937885572,86.0,0.0,0.0,1.0,Non-Indie,Just Xiangqi,15-01-2024,Indie,Studio Amateur,Studio Amateur
6428.0,24.99,121847.0,12.88320570542318,81.0,0.0,0.0,1.0,Non-Indie,Blacksmith. Song of two Kings.,13-02-2024,Indie,Pavel Leksin,Pavel Leksin
11704.0,12.99,119970.0,3.2941349420416337,75.0,0.0,0.0,1.0,Indie,ServiceIT: You can do IT,04-03-2024,Indie,"FreeMind S.A.,PlayWay S.A.",picture4u
12366.0,19.99,119956.0,22.056278066296468,85.0,0.0,0.0,1.0,Non-Indie,Heroes Wanted,11-06-2024,Indie,Gameplete,Gameplete
8491.0,16.99,119615.0,4.720167640168312,76.0,0.0,0.0,0.0,Indie,The Crush House,09-08-2024,AA,Devolver Digital,Nerial
14513.0,9.99,118127.0,11.015760970625273,89.0,0.0,0.0,0.0,Non-Indie,Zet Zillions,23-05-2024,AA,Raw Fury,OTA IMON Studios
20613.0,6.99,117466.0,5.547836570388897,85.0,0.0,0.0,1.0,Indie,天呐！找不到真爱就扑街！,30-05-2024,Indie,國王互娛King Interactive,國王互娛King Interactive
5557.0,24.99,117246.0,6.316958418986393,76.0,0.0,0.0,0.0,Indie,#BLUD,18-06-2024,AA,Humble Games,Exit 73 Studios
9425.0,14.99,117115.0,6.726593259880232,71.0,0.0,0.0,1.0,Indie,Rustil: Eternal Labyrinth Castle,25-04-2024,Indie,KTMG LLC.,KIC Games
8314.0,19.99,116875.0,12.374667067893927,79.0,0.0,0.0,1.0,Non-Indie,Diabotical Rogue,04-06-2024,Indie,GD Studio Inc,GD Studio Inc
11394.0,12.49,116257.0,5.247893236442482,93.0,0.0,0.0,1.0,Indie,Rock Star Life Simulator,26-02-2024,Indie,HOGO Games,HOGO Games
21260.0,8.99,115933.0,7.560146965041439,85.0,0.0,0.0,1.0,Indie,Artifact Seeker: Resurrection,26-07-2024,Indie,Lynkpin Game,Lynkpin Game
16944.0,7.99,115876.0,1.644515685236371,69.0,0.0,0.0,1.0,Indie,Supernormal,08-01-2024,Indie,Hitori de Productions,Hitori de Productions
34932.0,3.99,114851.0,0.5496443790101976,86.0,0.0,0.0,1.0,Indie,Psalm 5:9-13,13-03-2024,Indie,"Ranwog,Notex,a1esska","Ranwog,Notex,a1esska"
23803.0,6.99,114460.0,6.935692979085918,64.0,0.0,0.0,1.0,Indie,Pathfinder: Gallowspire Survivors,04-04-2024,Indie,BKOM Studios,BKOM Studios
